,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Cover Image,CV Issue URL,Days Between Issues
1,Spider-Man 2099,1992,1,Issue,1992-11-30,Comicvine,18354,107620,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-1-spider-man-2099/4000-107620/,31 days 00:00:00
2,Spider-Man 2099,1992,2,Issue,1992-12-31,Comicvine,18354,108699,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-2-nothing-ventured/4000-108699/,31 days 00:00:00
3,Spider-Man 2099,1992,3,Issue,1993-01-31,Comicvine,18354,108700,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-3-nothing-gained/4000-108700/,15006 days 00:00:00
4,Doom,1993,1,Issue,1952-01-01,Comicvine,1468,153768,The Adventures of Rex the Wonder Dog,1952, ,https://comicvine.gamespot.com/issue/4000-153768/,60 days 00:00:00
5,Doom,1993,2,Issue,1952-03-01,Comicvine,1468,153769,The Adventures of Rex the Wonder Dog,1952, ,https://comicvine.gamespot.com/issue/4000-153769/,14915 days 00:00:00
6,Ravage 2099,1992,1,Issue,1992-12-31,Comicvine,18470,108429,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-1-ravage-2099/4000-108429/,31 days 00:00:00
7,Ravage 2099,1992,2,Issue,1993-01-31,Comicvine,18470,118093,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-2-madness-unleashed/4000-118093/,18 days 00:00:00
8,Ravage 2099,1992,3,Issue,1993-02-18,Comicvine,18470,113890,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-3-horror-in-hellrock/4000-113890/,41 days 00:00:00
9,Punisher 2099,1993,1,Issue,1993-03-31,Comicvine,18467,108383,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-1-deadly-genesis/4000-108383/,31 days 00:00:00
10,Spider-Man 2099,1992,4,Issue,1993-02-28,Comicvine,18354,108720,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-4-the-specialist/4000-108720/,31 days 00:00:00
11,Spider-Man 2099,1992,5,Issue,1993-03-31,Comicvine,18354,108709,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-5-blood-oath/4000-108709/,30 days 00:00:00
12,Spider-Man 2099,1992,6,Issue,1993-04-30,Comicvine,18354,108710,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-6-downtown-is-deadly/4000-108710/,31 days 00:00:00
13,Spider-Man 2099,1992,7,Issue,1993-05-31,Comicvine,18354,108711,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-7-wing-and-a-prayer/4000-108711/,30 days 00:00:00
14,Spider-Man 2099,1992,8,Issue,1993-06-30,Comicvine,18354,108712,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-8-flight-or-fight/4000-108712/,31 days 00:00:00
15,Spider-Man 2099,1992,9,Issue,1993-07-31,Comicvine,18354,108721,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-9-home-again-home-again/4000-108721/,152 days 00:00:00
16,Doom 2099,1993,3,Issue,1993-03-01,Comicvine,18445,111027,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-3-unto-the-breath/4000-111027/,31 days 00:00:00
17,Doom 2099,1993,4,Issue,1993-04-01,Comicvine,18445,111028,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-4-fire-answers-fire/4000-111028/,1 days 00:00:00
18,Punisher 2099,1993,2,Issue,1993-03-31,Comicvine,18467,108430,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-2-the-mourning-after/4000-108430/,1 days 00:00:00
19,Punisher 2099,1993,3,Issue,1993-04-01,Comicvine,18467,108432,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-3-last-exit-from-the-bronx/4000-108432/,30 days 00:00:00
20,Punisher 2099,1993,4,Issue,1993-05-01,Comicvine,18467,108433,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-4-heroes-day/4000-108433/,44 days 00:00:00
21,Ravage 2099,1992,4,Issue,1993-03-18,Comicvine,18470,113891,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-4-the-mark-of-the-mutoid/4000-113891/,43 days 00:00:00
22,Ravage 2099,1992,5,Issue,1993-04-30,Comicvine,18470,118094,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-5-with-these-hands/4000-118094/,31 days 00:00:00
23,Ravage 2099,1992,6,Issue,1993-05-31,Comicvine,18470,134413,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-6-the-power-and-the-peril/4000-134413/,18 days 00:00:00
24,Ravage 2099,1992,7,Issue,1993-06-18,Comicvine,18470,118097,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-7-the-vengeance-of-dragonklaw/4000-118097/,30 days 00:00:00
25,Ravage 2099,1992,8,Issue,1993-07-18,Comicvine,18470,113892,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-8-sky-above-death-below/4000-113892/,44 days 00:00:00
26,Spider-Man 2099,1992,10,Issue,1993-08-31,Comicvine,18354,108713,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-10-mothers-day/4000-108713/,61 days 00:00:00
27,2099 Unlimited,1993,1,Issue,1993-07-01,Comicvine,18463,108378,2099 Unlimited,1993, ,https://comicvine.gamespot.com/2099-unlimited-1-nothing-ever-changes-hulk-2099/4000-108378/,13 days 00:00:00
28,Punisher 2099,1993,5,Issue,1993-06-18,Comicvine,18467,108434,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-5-punishment-hotel/4000-108434/,13 days 00:00:00
29,Punisher 2099,1993,6,Issue,1993-07-01,Comicvine,18467,108435,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-6-techno-gladiators/4000-108435/,61 days 00:00:00
30,Doom 2099,1993,5,Issue,1993-05-01,Comicvine,18445,111029,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-5-this-man-condemned/4000-111029/,31 days 00:00:00
31,Doom 2099,1993,6,Issue,1993-06-01,Comicvine,18445,111166,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-6-tripping-the-light-fantastic/4000-111166/,30 days 00:00:00
32,Doom 2099,1993,7,Issue,1993-07-01,Comicvine,18445,112188,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-7-a-region-of-ether-and-sighs/4000-112188/,31 days 00:00:00
33,Doom 2099,1993,8,Issue,1993-08-01,Comicvine,18445,113911,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-8-emperor-of-the-mind/4000-113911/,31 days 00:00:00
34,Doom 2099,1993,9,Issue,1993-09-01,Comicvine,18445,113912,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-9-the-spirit-within-me/4000-113912/,14 days 00:00:00
35,Ravage 2099,1992,9,Issue,1993-08-18,Comicvine,18470,118096,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-9-bio-crash/4000-118096/,31 days 00:00:00
36,Ravage 2099,1992,10,Issue,1993-09-18,Comicvine,18470,134414,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-10-rebirth-of-the-beast/4000-134414/,30 days 00:00:00
37,Ravage 2099,1992,11,Issue,1993-10-18,Comicvine,18470,134415,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-11-the-stigmata-effect/4000-134415/,18 days 00:00:00
38,Spider-Man 2099,1992,11,Issue,1993-09-30,Comicvine,18354,108714,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-11-under-seige/4000-108714/,1 days 00:00:00
39,2099 Unlimited,1993,2,Issue,1993-10-01,Comicvine,18463,108755,2099 Unlimited,1993, ,https://comicvine.gamespot.com/2099-unlimited-2-thirty-mile-mall-remote-hoist-wit/4000-108755/,44 days 00:00:00
40,Punisher 2099,1993,7,Issue,1993-08-18,Comicvine,18467,108436,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-7-love-and-bullets-part-one-conf/4000-108436/,31 days 00:00:00
41,Punisher 2099,1993,8,Issue,1993-09-18,Comicvine,18467,108437,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-8-love-and-bullets-part-two-pass/4000-108437/,43 days 00:00:00
42,Punisher 2099,1993,9,Issue,1993-10-31,Comicvine,18467,108438,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-9-love-and-bullets-part-three-re/4000-108438/,30 days 00:00:00
43,Doom 2099,1993,10,Issue,1993-10-01,Comicvine,18445,113913,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-10-breakdown-cyberspace/4000-113913/,30 days 00:00:00
44,X-Men 2099,1993,1,Issue,1993-10-31,Comicvine,18073,105839,X-Men 2099,1993, ,https://comicvine.gamespot.com/x-men-2099-1-the-gathering/4000-105839/,1 days 00:00:00
45,X-Men 2099,1993,2,Issue,1993-11-01,Comicvine,18073,105840,X-Men 2099,1993, ,https://comicvine.gamespot.com/x-men-2099-2-synge-city-blues/4000-105840/,30 days 00:00:00
46,X-Men 2099,1993,3,Issue,1993-12-01,Comicvine,18073,106391,X-Men 2099,1993, ,https://comicvine.gamespot.com/x-men-2099-3-viva-las-vegas/4000-106391/,31 days 00:00:00
47,Spider-Man 2099,1992,12,Issue,1993-10-31,Comicvine,18354,108715,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-12-death-from-on-high/4000-108715/,30 days 00:00:00
48,Spider-Man 2099,1992,13,Issue,1993-11-30,Comicvine,18354,108716,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-13-prophet-and-loss/4000-108716/,31 days 00:00:00
49,Spider-Man 2099,1992,14,Issue,1993-12-31,Comicvine,18354,108717,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-14-boiling-point/4000-108717/,60 days 00:00:00
50,Doom 2099,1993,11,Issue,1993-11-01,Comicvine,18445,134478,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-11-faith-and-revival/4000-134478/,30 days 00:00:00
51,Doom 2099,1993,12,Issue,1993-12-01,Comicvine,18445,113914,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-12-fire-and-reign/4000-113914/,31 days 00:00:00
52,Doom 2099,1993,13,Issue,1994-01-01,Comicvine,18445,134485,Doom 2099,1993, ,https://comicvine.gamespot.com/doom-2099-13-harvest-of-a-quiet-eye/4000-134485/,0 days 00:00:00
53,2099 Unlimited,1993,3,Issue,1994-01-01,Comicvine,18463,108780,2099 Unlimited,1993, ,https://comicvine.gamespot.com/2099-unlimited-3-water-god-spare-changes-kid-curre/4000-108780/,44 days 00:00:00
54,Punisher 2099,1993,10,Issue,1993-11-18,Comicvine,18467,108439,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-10-jigsaw-2099/4000-108439/,0 days 00:00:00
55,Ravage 2099,1992,12,Issue,1993-11-18,Comicvine,18470,113894,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-12-nature-of-the-beast/4000-113894/,30 days 00:00:00
56,Ravage 2099,1992,13,Issue,1993-12-18,Comicvine,18470,134425,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-13-apocalypse-next/4000-134425/,0 days 00:00:00
57,Punisher 2099,1993,11,Issue,1993-12-18,Comicvine,18467,108440,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-11-the-gathering-storm/4000-108440/,31 days 00:00:00
58,Ravage 2099,1992,14,Issue,1994-01-18,Comicvine,18470,134426,Ravage 2099,1992, ,https://comicvine.gamespot.com/ravage-2099-14-clouds-of-doom/4000-134426/,17 days 00:00:00
59,Punisher 2099,1993,12,Issue,1994-01-01,Comicvine,18467,108441,The Punisher 2099,1993, ,https://comicvine.gamespot.com/the-punisher-2099-12-hard-sky/4000-108441/,0 days 00:00:00
60,X-Men 2099,1993,4,Issue,1994-01-01,Comicvine,18073,108297,X-Men 2099,1993, ,https://comicvine.gamespot.com/x-men-2099-4-the-darkroom/4000-108297/,30 days 00:00:00
61,Spider-Man 2099,1992,15,Issue,1994-01-31,Comicvine,18354,108718,Spider-Man 2099,1992, ,https://comicvine.gamespot.com/spider-man-2099-15-the-rise-of-the-hammer/4000-108718/,28 days 00:00:00
